"Well"	"Cycle"	"Rn"	"delta.RN"
"833"	"LZ02"	33	-1217.4348	166.6712
"834"	"LZ02"	34	-1225.1509	168.0952
"835"	"LZ02"	35	-1203.0364	199.3498
"836"	"LZ02"	36	-1225.7797	185.7465
"837"	"LZ02"	37	-1235.3226	185.3436
"838"	"LZ02"	38	-1230.6763	199.1301
"839"	"LZ02"	39	-1222.2385	216.7079
"840"	"LZ02"	40	-1233.0769	215.0095
"841"	"LZ23"	1	-899.8845	175.6231
"842"	"LZ23"	2	-1010.4282	68.4965
"843"	"LZ23"	3	-1056.0284	26.3133
"844"	"LZ23"	4	-1082.7091	3.0498
"845"	"LZ23"	5	-1081.8506	7.3254
"846"	"LZ23"	6	-1103.9873	-11.3942
"847"	"LZ23"	7	-1112.7463	-16.7362
"848"	"LZ23"	8	-1118.2233	-18.796
"849"	"LZ23"	9	-1102.3425	0.5018
"850"	"LZ23"	10	-1125.3777	-19.1162
"851"	"LZ23"	11	-1103.6503	6.0283
"852"	"LZ23"	12	-1116.2063	-3.1107
"853"	"LZ23"	13	-1109.0125	7.5003
"854"	"LZ23"	14	-1111.6929	8.237
"855"	"LZ23"	15	-1113.1494	10.1975
"856"	"LZ23"	16	-1112.3625	14.4015
"857"	"LZ23"	17	-1108.1123	22.0688
"858"	"LZ23"	18	-1115.5236	18.0746
"859"	"LZ23"	19	-1122.3009	14.7144
"860"	"LZ23"	20	-1116.1543	24.2781
"861"	"LZ23"	21	-1113.2767	30.5728
"862"	"LZ23"	22	-1103.6077	43.6589
"863"	"LZ23"	23	-1109.822	40.8617
"864"	"LZ23"	24	-1111.322	42.7788
"865"	"LZ23"	25	-1103.4875	54.0303
"866"	"LZ23"	26	-1107.2803	53.6547
"867"	"LZ23"	27	-1108.0898	56.2622
"868"	"LZ23"	28	-1098.6096	69.1595
"869"	"LZ23"	29	-1089.7893	81.397
"870"	"LZ23"	30	-1087.3276	87.2757
"871"	"LZ23"	31	-1075.6171	102.4034
"872"	"LZ23"	32	-1046.9532	134.4843
"873"	"LZ23"	33	-971.7344	213.1202
"874"	"LZ23"	34	-851.3901	336.8816
"875"	"LZ23"	35	-615.5536	576.1353
"876"	"LZ23"	36	-175.135	1019.9709
"877"	"LZ23"	37	621.1722	1819.6953
"878"	"LZ23"	38	1933.7664	3135.7065
"879"	"LZ23"	39	3921.6528	5127.0103
"880"	"LZ23"	40	6232.5171	7441.2915
"881"	"LZ15"	1	-1283.261	142.8437
"882"	"LZ15"	2	-1378.0438	50.0125
"883"	"LZ15"	3	-1415.325	14.6829
"884"	"LZ15"	4	-1425.9922	5.9673
"885"	"LZ15"	5	-1446.2906	-12.3796
"886"	"LZ15"	6	-1438.1019	-2.2393
"887"	"LZ15"	7	-1428.994	8.8202
"888"	"LZ15"	8	-1441.1104	-1.3445
"889"	"LZ15"	9	-1455.5309	-13.8135
