* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-23  Muestras roedores 1.eds
* Experiment Run End Time = Not Started
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
D6	25	-55.2206
D6	26	-67.382
D6	27	-90.2129
D6	28	-96.8948
D6	29	-78.7336
D6	30	-99.0967
D6	31	-115.716
D6	32	-137.3828
D6	33	-141.473
D6	34	-164.6519
D6	35	-177.9292
D6	36	-191.4691
D6	37	-209.5199
D6	38	-218.6696
D6	39	-229.9035
D6	40	-216.2401
D7	1	188.9338
D7	2	93.9814
D7	3	23.7635
D7	4	8.6877
D7	5	-17.7857
D7	6	-15.7188
D7	7	-2.4303
D7	8	-9.2081
D7	9	3.7298
D7	10	-5.9071
D7	11	6.8659
D7	12	-8.5946
D7	13	10.1058
D7	14	7.7629
D7	15	-1.2711
D7	16	-0.6556
D7	17	5.3535
D7	18	7.5125
D7	19	9.3602
D7	20	33.2681
D7	21	28.1387
D7	22	48.9536
D7	23	27.1518
D7	24	41.7049
D7	25	18.8032
D7	26	37.98
D7	27	53.0897
D7	28	25.5407
D7	29	53.6062
D7	30	53.9256
D7	31	57.3159
D7	32	83.111
D7	33	123.5554
D7	34	190.7858
D7	35	326.5314
D7	36	586.8619
D7	37	1036.5336
D7	38	1814.6978
D7	39	3101.7996
D7	40	4925.5337
D8	1	190.6324
D8	2	77.3284
D8	3	34.6016
D8	4	9.0753
D8	5	-22.687
D8	6	4.9542
D8	7	-15.5604
D8	8	-1.6725
D8	9	-17.6965
D8	10	-12.649
D8	11	11.0143
D8	12	-28.7363
D8	13	2.5654
D8	14	9.8693
D8	15	26.9215
D8	16	43.5609
D8	17	67.6542
D8	18	66.5148
D8	19	80.7169
D8	20	107.4208
D8	21	102.3515
D8	22	129.411
D8	23	144.5512
D8	24	156.5078
D8	25	163.0873
D8	26	182.4938
D8	27	192.7964
D8	28	201.8184
D8	29	217.713
D8	30	224.5474
D8	31	251.3013
D8	32	276.1981
D8	33	300.8821
D8	34	301.4596
D8	35	343.5944
D8	36	328.8742
D8	37	337.3237
D8	38	340.1832
D8	39	347.478
D8	40	372.9316
E1	1	
E1	2	
E1	3	
E1	4	
E1	5	
E1	6	
E1	7	
E1	8	
E1	9	
E1	10	
E1	11	
E1	12	
E1	13	
E1	14	
E1	15	
E1	16	
E1	17	
E1	18	
E1	19	
E1	20	
E1	21	
E1	22	
E1	23	
E1	24	
E1	25	
E1	26	
E1	27	
E1	28	
E1	29	
E1	30	
E1	31	
E1	32	
E1	33	
E1	34	
E1	35	
E1	36	
E1	37	
E1	38	
E1	39	
E1	40	
E2	1	
E2	2	
E2	3	
E2	4	
E2	5	
E2	6	
E2	7	
E2	8	
E2	9	
E2	10	
E2	11	
E2	12	
E2	13	
E2	14	
E2	15	
E2	16	
E2	17	
E2	18	
E2	19	
E2	20	
E2	21	
E2	22	
E2	23	
E2	24	
E2	25	
E2	26	
E2	27	
E2	28	
E2	29	
E2	30	
E2	31	
E2	32	
E2	33	
E2	34	
E2	35	
E2	36	
E2	37	
E2	38	
E2	39	
E2	40	
E3	1	
E3	2	
E3	3	
E3	4	
E3	5	
E3	6	
E3	7	
E3	8	
E3	9	
E3	10	
E3	11	
E3	12	
E3	13	
E3	14	
E3	15	
E3	16	
E3	17	
E3	18	
E3	19	
E3	20	
E3	21	
E3	22	
E3	23	
E3	24	
E3	25	
E3	26	
E3	27	
E3	28	
E3	29	
E3	30	
E3	31	
E3	32	
E3	33	
E3	34	
E3	35	
E3	36	
E3	37	
E3	38	
E3	39	
E3	40	
E4	1	
E4	2	
E4	3	
E4	4	
E4	5	
E4	6	
E4	7	
E4	8	
E4	9	
E4	10	
E4	11	
E4	12	
E4	13	
E4	14	
E4	15	
E4	16	
E4	17	
E4	18	
E4	19	
E4	20	
E4	21	
E4	22	
E4	23	
E4	24	
E4	25	
E4	26	
E4	27	
E4	28	
E4	29	
E4	30	
E4	31	
E4	32	
E4	33	
E4	34	
E4	35	
E4	36	
E4	37	
E4	38	
E4	39	
E4	40	
E5	1	
E5	2	
E5	3	
E5	4	
E5	5	
E5	6	
E5	7	
E5	8	
E5	9	
E5	10	
E5	11	
E5	12	
E5	13	
E5	14	
E5	15	
E5	16	
E5	17	
E5	18	
E5	19	
E5	20	
E5	21	
E5	22	
E5	23	
E5	24	
E5	25	
E5	26	
E5	27	
E5	28	
E5	29	
E5	30	
E5	31	
E5	32	
E5	33	
E5	34	
E5	35	
E5	36	
E5	37	
E5	38	
E5	39	
E5	40	
E6	1	
E6	2	
E6	3	
E6	4	
E6	5	
E6	6	
E6	7	
E6	8	
E6	9	
E6	10	
E6	11	
E6	12	
E6	13	
E6	14	
E6	15	
E6	16	
E6	17	
E6	18	
E6	19	
E6	20	
E6	21	
E6	22	
E6	23	
E6	24	
E6	25	
E6	26	
E6	27	
E6	28	
E6	29	
E6	30	
E6	31	
E6	32	
E6	33	
E6	34	
E6	35	
E6	36	
E6	37	
E6	38	
E6	39	
E6	40	
E7	1	
E7	2	
E7	3	
E7	4	
E7	5	
E7	6	
E7	7	
E7	8	
E7	9	
E7	10	
E7	11	
E7	12	
E7	13	
E7	14	
E7	15	
E7	16	
E7	17	
E7	18	
E7	19	
E7	20	
E7	21	
E7	22	
E7	23	
E7	24	
E7	25	
E7	26	
E7	27	
E7	28	
E7	29	
